freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.088e+01,1.058e+03,8.819e+01,1.157e+03
1.6,4.735e+01,7.774e+02,3.050e+02,1.130e+03
3.1,5.595e+01,2.022e+02,3.574e+02,6.155e+02
4.7,5.026e+01,5.578e+02,3.380e+02,9.461e+02
6.2,5.014e+01,1.394e+03,3.353e+02,1.779e+03
7.8,5.002e+01,2.063e+03,3.592e+02,2.472e+03
9.3,5.428e+01,3.026e+03,2.897e+02,3.370e+03
10.9,4.854e+01,4.315e+03,3.411e+02,4.704e+03
12.4,5.225e+01,6.117e+03,3.804e+02,6.550e+03
14.0,5.066e+01,8.318e+03,3.436e+02,8.712e+03
15.5,5.047e+01,1.102e+04,3.951e+02,1.147e+04
17.1,4.854e+01,1.447e+04,3.508e+02,1.487e+04
18.7,4.921e+01,1.907e+04,4.205e+02,1.954e+04
20.2,4.849e+01,2.526e+04,5.263e+02,2.583e+04
21.8,4.841e+01,3.390e+04,4.260e+02,3.438e+04
23.3,4.441e+01,4.617e+04,5.612e+02,4.678e+04
24.9,4.716e+01,6.411e+04,5.708e+02,6.473e+04
26.4,5.479e+01,9.163e+04,7.225e+02,9.240e+04
28.0,5.452e+01,1.374e+05,1.028e+03,1.385e+05
29.5,5.262e+01,2.267e+05,1.635e+03,2.284e+05
31.1,6.183e+01,4.398e+05,3.257e+03,4.431e+05
32.6,1.384e+02,1.269e+06,1.427e+04,1.283e+06
34.2,3.969e+02,2.948e+06,4.684e+04,2.995e+06
35.8,6.287e+02,3.039e+06,5.804e+04,3.098e+06
37.3,8.632e+02,1.996e+06,4.814e+04,2.045e+06
38.9,7.307e+02,1.198e+06,3.483e+04,1.234e+06
40.4,1.872e+02,7.904e+05,2.513e+04,8.157e+05
42.0,1.746e+02,5.864e+05,2.370e+04,6.102e+05
43.5,3.592e+02,4.585e+05,2.242e+04,4.812e+05
45.1,5.327e+02,3.654e+05,2.364e+04,3.896e+05
46.6,6.723e+02,3.031e+05,2.594e+04,3.297e+05
48.2,6.601e+02,2.529e+05,2.620e+04,2.797e+05
49.7,5.372e+02,2.087e+05,2.639e+04,2.357e+05
51.3,4.018e+02,1.848e+05,2.861e+04,2.138e+05
52.9,4.280e+02,1.741e+05,3.581e+04,2.104e+05
54.4,4.825e+02,1.667e+05,4.533e+04,2.125e+05
56.0,4.381e+02,1.585e+05,5.412e+04,2.131e+05
57.5,6.219e+02,1.506e+05,6.513e+04,2.163e+05
59.1,1.283e+03,1.505e+05,9.391e+04,2.457e+05
60.6,2.219e+03,1.429e+05,1.310e+05,2.761e+05
62.2,1.693e+03,1.269e+05,1.533e+05,2.819e+05
63.7,1.263e+03,1.010e+05,1.933e+05,2.955e+05
65.3,1.483e+03,6.282e+04,1.991e+05,2.634e+05
66.8,9.617e+02,3.494e+04,1.643e+05,2.002e+05
68.4,1.040e+03,2.015e+04,1.191e+05,1.403e+05
70.0,1.567e+03,1.622e+04,8.570e+04,1.035e+05
71.5,1.297e+03,1.851e+04,6.259e+04,8.239e+04
73.1,1.021e+03,2.326e+04,4.477e+04,6.906e+04
74.6,9.680e+02,2.725e+04,3.430e+04,6.251e+04
76.2,1.210e+03,3.225e+04,2.749e+04,6.096e+04
77.7,1.041e+03,4.055e+04,2.206e+04,6.365e+04
79.3,7.645e+02,5.078e+04,1.728e+04,6.883e+04
80.8,6.194e+02,6.126e+04,1.361e+04,7.549e+04
82.4,7.092e+02,6.470e+04,1.157e+04,7.698e+04
83.9,7.918e+02,6.673e+04,9.874e+03,7.740e+04
85.5,1.812e+03,7.290e+04,8.373e+03,8.309e+04
87.0,2.635e+03,7.496e+04,7.291e+03,8.488e+04
88.6,1.892e+03,6.552e+04,5.328e+03,7.273e+04
90.2,9.071e+02,4.494e+04,3.315e+03,4.916e+04
91.7,8.011e+02,2.483e+04,2.312e+03,2.794e+04
93.3,5.948e+02,1.340e+04,2.220e+03,1.621e+04
94.8,4.401e+02,1.137e+04,2.299e+03,1.411e+04
96.4,4.686e+02,1.085e+04,2.449e+03,1.377e+04
97.9,7.014e+02,7.287e+03,2.269e+03,1.026e+04
99.5,9.232e+02,4.720e+03,2.235e+03,7.878e+03
101.0,8.790e+02,4.156e+03,2.830e+03,7.865e+03
102.6,9.315e+02,3.224e+03,2.770e+03,6.926e+03
104.1,8.778e+02,1.939e+03,2.458e+03,5.275e+03
105.7,7.180e+02,1.163e+03,1.981e+03,3.862e+03
107.3,5.749e+02,7.809e+02,1.872e+03,3.228e+03
108.8,4.695e+02,7.665e+02,1.884e+03,3.120e+03
110.4,4.295e+02,8.253e+02,2.053e+03,3.308e+03
111.9,4.875e+02,6.921e+02,2.351e+03,3.531e+03
113.5,4.800e+02,4.829e+02,2.909e+03,3.872e+03
115.0,6.387e+02,5.655e+02,3.414e+03,4.618e+03
116.6,1.058e+03,8.276e+02,3.856e+03,5.741e+03
118.1,1.691e+03,1.021e+03,4.120e+03,6.833e+03
119.7,2.425e+03,1.335e+03,4.098e+03,7.859e+03
121.2,3.268e+03,1.757e+03,4.184e+03,9.209e+03
122.8,4.463e+03,2.534e+03,4.483e+03,1.148e+04
124.4,6.194e+03,3.721e+03,4.569e+03,1.448e+04
125.9,7.945e+03,4.927e+03,4.341e+03,1.721e+04
127.5,9.996e+03,6.362e+03,4.194e+03,2.055e+04
129.0,1.166e+04,7.858e+03,4.076e+03,2.359e+04
130.6,1.205e+04,8.583e+03,3.827e+03,2.446e+04
132.1,1.075e+04,7.750e+03,3.571e+03,2.207e+04
133.7,5.821e+03,3.512e+03,1.924e+03,1.126e+04
135.2,3.471e+03,1.895e+03,1.160e+03,6.526e+03
136.8,3.136e+03,1.425e+03,1.137e+03,5.697e+03
138.3,2.904e+03,1.092e+03,1.142e+03,5.139e+03
139.9,2.115e+03,7.914e+02,1.107e+03,4.013e+03
141.5,1.480e+03,7.134e+02,9.966e+02,3.190e+03
143.0,1.146e+03,6.203e+02,1.037e+03,2.803e+03
144.6,9.157e+02,5.087e+02,8.834e+02,2.308e+03
146.1,7.845e+02,6.319e+02,1.029e+03,2.445e+03
147.7,6.804e+02,5.650e+02,9.264e+02,2.172e+03
149.2,5.979e+02,6.344e+02,1.097e+03,2.330e+03
150.8,5.211e+02,5.571e+02,1.089e+03,2.167e+03
152.3,4.361e+02,5.124e+02,1.342e+03,2.291e+03
153.9,3.840e+02,4.877e+02,1.435e+03,2.307e+03
155.4,3.957e+02,3.473e+02,9.478e+02,1.691e+03
157.0,3.298e+02,3.573e+02,1.011e+03,1.698e+03
158.6,2.605e+02,4.150e+02,1.406e+03,2.081e+03
160.1,2.402e+02,5.196e+02,1.433e+03,2.193e+03
161.7,2.212e+02,6.731e+02,1.388e+03,2.283e+03
163.2,2.163e+02,6.454e+02,1.332e+03,2.194e+03
164.8,2.725e+02,5.215e+02,1.451e+03,2.245e+03
166.3,3.379e+02,4.230e+02,1.273e+03,2.034e+03
167.9,3.306e+02,4.217e+02,1.143e+03,1.896e+03
169.4,2.144e+02,6.852e+02,1.467e+03,2.367e+03
171.0,1.939e+02,6.362e+02,1.865e+03,2.695e+03
172.5,3.424e+02,5.509e+02,1.494e+03,2.387e+03
174.1,4.440e+02,4.965e+02,1.284e+03,2.225e+03
175.7,3.607e+02,5.379e+02,1.322e+03,2.220e+03
177.2,3.702e+02,5.565e+02,1.094e+03,2.021e+03
178.8,4.887e+02,5.602e+02,1.296e+03,2.345e+03
180.3,5.559e+02,5.655e+02,1.696e+03,2.817e+03
181.9,6.246e+02,5.386e+02,1.412e+03,2.575e+03
183.4,5.560e+02,5.549e+02,1.226e+03,2.337e+03
185.0,4.041e+02,5.143e+02,1.150e+03,2.069e+03
186.5,3.395e+02,5.065e+02,1.340e+03,2.186e+03
188.1,3.227e+02,6.681e+02,1.766e+03,2.756e+03
189.6,3.120e+02,6.237e+02,1.743e+03,2.678e+03
191.2,2.351e+02,5.931e+02,1.805e+03,2.633e+03
192.8,2.918e+02,7.050e+02,1.857e+03,2.854e+03
194.3,3.682e+02,7.455e+02,1.643e+03,2.756e+03
195.9,6.775e+02,8.986e+02,1.559e+03,3.135e+03
197.4,5.138e+02,8.258e+02,1.474e+03,2.813e+03
199.0,3.112e+02,8.587e+02,1.534e+03,2.704e+03
