freq,psd_x,psd_y,psd_z,psd_xyz
68.4,1.051e+05,3.254e+03,1.630e+03,1.100e+05
70.0,7.831e+04,2.101e+03,9.753e+02,8.139e+04
71.5,5.541e+04,1.164e+03,8.220e+02,5.739e+04
73.1,3.976e+04,5.821e+02,4.286e+02,4.077e+04
74.6,2.986e+04,4.477e+02,2.164e+02,3.052e+04
76.2,3.220e+04,6.083e+02,1.800e+02,3.299e+04
77.7,3.094e+04,9.317e+02,1.457e+02,3.201e+04
79.3,2.783e+04,1.265e+03,9.476e+01,2.919e+04
80.8,2.800e+04,1.562e+03,7.069e+01,2.963e+04
82.4,3.212e+04,1.882e+03,6.791e+01,3.407e+04
83.9,3.631e+04,2.098e+03,6.847e+01,3.847e+04
85.5,3.572e+04,1.896e+03,8.107e+01,3.770e+04
87.1,3.252e+04,1.388e+03,1.237e+02,3.403e+04
88.6,2.802e+04,2.136e+03,1.655e+02,3.032e+04
90.2,2.470e+04,4.042e+03,1.989e+02,2.894e+04
91.7,1.992e+04,3.816e+03,1.832e+02,2.392e+04
93.3,1.770e+04,2.459e+03,1.324e+02,2.029e+04
94.8,1.438e+04,1.502e+03,1.006e+02,1.598e+04
96.4,1.060e+04,1.190e+03,7.972e+01,1.187e+04
97.9,8.254e+03,8.744e+02,8.012e+01,9.209e+03
99.5,7.017e+03,5.818e+02,7.349e+01,7.672e+03
101.0,6.128e+03,3.944e+02,5.436e+01,6.576e+03
102.6,5.490e+03,2.203e+02,4.959e+01,5.760e+03
104.2,5.095e+03,1.810e+02,5.053e+01,5.327e+03
105.7,5.201e+03,2.575e+02,4.937e+01,5.508e+03
107.3,6.761e+03,4.254e+02,5.777e+01,7.245e+03
108.8,9.645e+03,6.403e+02,7.564e+01,1.036e+04
110.4,1.354e+04,8.449e+02,8.746e+01,1.447e+04
111.9,1.730e+04,1.216e+03,8.710e+01,1.860e+04
113.5,2.107e+04,1.867e+03,1.110e+02,2.305e+04
115.0,2.444e+04,2.677e+03,1.461e+02,2.726e+04
116.6,2.611e+04,3.385e+03,1.686e+02,2.966e+04
118.1,2.472e+04,3.934e+03,1.993e+02,2.885e+04
119.7,2.530e+04,4.691e+03,2.239e+02,3.021e+04
121.3,2.918e+04,5.810e+03,2.239e+02,3.522e+04
122.8,3.205e+04,6.811e+03,2.412e+02,3.911e+04
124.4,3.420e+04,7.709e+03,2.476e+02,4.216e+04
125.9,3.686e+04,8.817e+03,2.691e+02,4.594e+04
127.5,4.011e+04,1.032e+04,3.022e+02,5.073e+04
129.0,4.255e+04,1.164e+04,3.478e+02,5.453e+04
130.6,4.397e+04,1.263e+04,3.484e+02,5.695e+04
132.1,3.851e+04,1.162e+04,2.979e+02,5.043e+04
133.7,1.835e+04,4.985e+03,1.516e+02,2.349e+04
135.2,7.333e+03,1.602e+03,7.111e+01,9.006e+03
136.8,5.940e+03,1.439e+03,6.196e+01,7.442e+03
138.4,6.100e+03,1.638e+03,6.550e+01,7.803e+03
139.9,6.363e+03,1.906e+03,6.911e+01,8.338e+03
141.5,6.637e+03,2.154e+03,8.110e+01,8.872e+03
143.0,6.694e+03,2.374e+03,9.686e+01,9.165e+03
144.6,6.352e+03,2.387e+03,1.001e+02,8.839e+03
146.1,5.884e+03,2.320e+03,1.024e+02,8.306e+03
147.7,5.200e+03,2.224e+03,1.028e+02,7.526e+03
149.2,4.925e+03,2.294e+03,1.146e+02,7.334e+03
150.8,4.852e+03,2.494e+03,1.322e+02,7.478e+03
152.3,4.769e+03,2.774e+03,1.741e+02,7.717e+03
153.9,4.168e+03,2.747e+03,1.945e+02,7.109e+03
155.5,3.726e+03,2.727e+03,2.427e+02,6.695e+03
157.0,3.731e+03,2.761e+03,3.422e+02,6.835e+03
158.6,4.108e+03,2.626e+03,4.563e+02,7.190e+03
160.1,4.313e+03,2.210e+03,5.334e+02,7.056e+03
161.7,3.872e+03,1.597e+03,5.015e+02,5.970e+03
163.2,3.473e+03,1.124e+03,4.289e+02,5.026e+03
164.8,3.596e+03,9.610e+02,4.269e+02,4.984e+03
166.3,3.565e+03,8.416e+02,4.111e+02,4.818e+03
167.9,3.380e+03,7.212e+02,4.119e+02,4.513e+03
169.4,3.206e+03,6.576e+02,4.066e+02,4.270e+03
171.0,3.349e+03,6.525e+02,4.366e+02,4.438e+03
172.6,3.675e+03,6.136e+02,4.957e+02,4.785e+03
174.1,3.979e+03,5.736e+02,5.444e+02,5.096e+03
175.7,4.281e+03,5.563e+02,5.856e+02,5.423e+03
177.2,4.443e+03,5.022e+02,6.177e+02,5.563e+03
178.8,4.952e+03,4.968e+02,7.044e+02,6.153e+03
180.3,5.557e+03,5.094e+02,7.831e+02,6.850e+03
181.9,5.662e+03,4.870e+02,7.794e+02,6.928e+03
183.4,5.155e+03,4.367e+02,7.377e+02,6.330e+03
185.0,4.515e+03,3.248e+02,6.527e+02,5.493e+03
186.5,3.849e+03,2.618e+02,5.783e+02,4.689e+03
188.1,3.713e+03,2.625e+02,5.643e+02,4.540e+03
189.7,4.230e+03,3.297e+02,6.202e+02,5.179e+03
191.2,4.534e+03,3.497e+02,6.581e+02,5.542e+03
192.8,4.938e+03,3.633e+02,6.909e+02,5.992e+03
194.3,6.163e+03,4.635e+02,8.638e+02,7.491e+03
195.9,6.660e+03,5.186e+02,9.504e+02,8.129e+03
197.4,6.538e+03,4.005e+02,1.011e+03,7.950e+03
199.0,6.753e+03,3.162e+02,1.042e+03,8.112e+03
