freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.047e+02,5.352e+00,3.740e+00,1.138e+02
1.6,8.075e+01,1.613e+01,1.915e+01,1.160e+02
3.1,3.103e+01,1.778e+01,2.139e+01,7.019e+01
4.7,2.963e+02,1.764e+01,2.356e+01,3.375e+02
6.2,1.018e+03,1.783e+01,2.272e+01,1.059e+03
7.8,1.623e+03,1.777e+01,2.189e+01,1.662e+03
9.3,2.328e+03,1.887e+01,2.191e+01,2.369e+03
10.9,3.205e+03,2.116e+01,2.149e+01,3.248e+03
12.4,4.228e+03,2.152e+01,2.243e+01,4.272e+03
14.0,5.578e+03,2.329e+01,2.442e+01,5.626e+03
15.5,7.617e+03,2.698e+01,2.423e+01,7.668e+03
17.1,1.023e+04,2.882e+01,2.595e+01,1.029e+04
18.7,1.301e+04,2.500e+01,2.406e+01,1.306e+04
20.2,1.533e+04,2.399e+01,2.543e+01,1.538e+04
21.8,1.757e+04,2.302e+01,2.579e+01,1.762e+04
23.3,1.932e+04,2.261e+01,2.653e+01,1.937e+04
24.9,2.130e+04,2.757e+01,2.595e+01,2.135e+04
26.4,2.399e+04,3.488e+01,3.173e+01,2.406e+04
28.0,2.631e+04,4.018e+01,3.113e+01,2.638e+04
29.5,2.818e+04,4.636e+01,2.869e+01,2.826e+04
31.1,3.017e+04,6.706e+01,3.361e+01,3.027e+04
32.6,3.160e+04,1.118e+02,3.959e+01,3.175e+04
34.2,3.515e+04,1.781e+02,5.176e+01,3.538e+04
35.8,4.815e+04,2.762e+02,8.138e+01,4.851e+04
37.3,8.013e+04,6.550e+02,1.585e+02,8.094e+04
38.9,9.315e+04,1.304e+03,2.169e+02,9.467e+04
40.4,8.755e+04,6.153e+02,9.531e+01,8.826e+04
42.0,1.047e+05,3.643e+02,1.207e+02,1.052e+05
43.5,9.825e+04,7.518e+02,2.356e+02,9.924e+04
45.1,4.961e+04,1.381e+03,2.590e+02,5.125e+04
46.6,2.849e+04,1.688e+03,2.591e+02,3.044e+04
48.2,2.749e+04,1.741e+03,2.762e+02,2.951e+04
49.7,2.728e+04,1.875e+03,2.959e+02,2.945e+04
51.3,3.104e+04,1.735e+03,3.096e+02,3.308e+04
52.9,3.860e+04,1.524e+03,3.450e+02,4.047e+04
54.4,4.568e+04,1.444e+03,4.613e+02,4.758e+04
56.0,4.967e+04,1.385e+03,5.583e+02,5.162e+04
57.5,4.707e+04,1.417e+03,5.968e+02,4.908e+04
59.1,4.347e+04,1.677e+03,9.511e+02,4.610e+04
60.6,4.352e+04,2.234e+03,1.768e+03,4.752e+04
62.2,4.632e+04,2.295e+03,1.652e+03,5.027e+04
63.7,5.334e+04,2.394e+03,1.553e+03,5.728e+04
65.3,7.031e+04,3.324e+03,2.427e+03,7.607e+04
66.8,1.020e+05,4.054e+03,2.523e+03,1.086e+05
