freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.740e+02,9.949e+02,1.699e+01,1.386e+03
1.5,1.001e+03,7.145e+02,8.292e+01,1.799e+03
2.9,1.312e+03,2.225e+02,9.098e+01,1.625e+03
4.4,1.040e+03,4.407e+02,9.014e+01,1.571e+03
5.8,7.952e+02,1.186e+03,1.173e+02,2.099e+03
7.3,8.207e+02,1.754e+03,8.952e+01,2.664e+03
8.8,8.932e+02,2.618e+03,9.348e+01,3.604e+03
10.2,9.443e+02,3.727e+03,1.005e+02,4.772e+03
11.7,1.054e+03,5.133e+03,1.371e+02,6.324e+03
13.1,1.136e+03,7.031e+03,1.115e+02,8.278e+03
14.6,1.297e+03,8.944e+03,1.019e+02,1.034e+04
16.1,1.238e+03,1.155e+04,9.176e+01,1.288e+04
17.5,1.034e+03,1.486e+04,1.116e+02,1.601e+04
19.0,1.167e+03,1.901e+04,1.175e+02,2.030e+04
20.5,1.605e+03,2.449e+04,1.155e+02,2.621e+04
21.9,1.638e+03,3.135e+04,1.198e+02,3.310e+04
23.4,1.521e+03,4.098e+04,1.351e+02,4.264e+04
24.8,1.627e+03,5.475e+04,1.364e+02,5.651e+04
26.3,1.908e+03,7.480e+04,1.589e+02,7.686e+04
27.8,1.888e+03,1.059e+05,9.420e+01,1.079e+05
29.2,2.761e+03,1.580e+05,9.225e+01,1.608e+05
30.7,4.649e+03,2.503e+05,1.001e+02,2.551e+05
32.1,9.227e+03,4.404e+05,1.403e+02,4.497e+05
33.6,2.272e+04,1.072e+06,2.312e+02,1.095e+06
35.1,7.833e+04,2.915e+06,4.820e+02,2.994e+06
36.5,1.315e+05,3.935e+06,3.949e+02,4.067e+06
38.0,1.074e+05,2.846e+06,2.805e+02,2.953e+06
39.4,7.229e+04,1.614e+06,2.656e+02,1.687e+06
40.9,5.269e+04,9.690e+05,2.552e+02,1.022e+06
42.4,4.314e+04,6.423e+05,2.030e+02,6.857e+05
43.8,3.417e+04,4.314e+05,1.376e+02,4.657e+05
45.3,3.078e+04,3.615e+05,1.049e+02,3.924e+05
46.8,3.589e+04,3.288e+05,1.358e+02,3.648e+05
48.2,4.109e+04,2.866e+05,2.181e+02,3.279e+05
49.7,4.618e+04,2.458e+05,2.698e+02,2.923e+05
51.1,5.843e+04,2.258e+05,4.345e+02,2.846e+05
52.6,7.994e+04,2.219e+05,5.692e+02,3.024e+05
54.1,9.788e+04,2.001e+05,4.205e+02,2.984e+05
55.5,1.093e+05,1.662e+05,2.547e+02,2.757e+05
57.0,1.163e+05,1.298e+05,2.153e+02,2.463e+05
58.4,1.513e+05,1.171e+05,3.509e+02,2.688e+05
59.9,2.774e+05,1.313e+05,1.292e+03,4.099e+05
61.4,3.581e+05,1.028e+05,2.695e+03,4.636e+05
62.8,3.004e+05,5.173e+04,3.377e+03,3.555e+05
64.3,2.230e+05,2.789e+04,4.749e+03,2.556e+05
65.7,1.641e+05,1.833e+04,7.187e+03,1.896e+05
67.2,1.124e+05,1.507e+04,9.609e+03,1.370e+05
68.7,8.034e+04,1.607e+04,7.678e+03,1.041e+05
70.1,6.399e+04,2.070e+04,3.968e+03,8.866e+04
71.6,5.754e+04,2.532e+04,3.005e+03,8.587e+04
73.1,4.955e+04,3.089e+04,1.387e+03,8.183e+04
74.5,4.033e+04,3.548e+04,8.573e+02,7.667e+04
76.0,3.223e+04,3.829e+04,6.690e+02,7.119e+04
77.4,2.361e+04,4.161e+04,6.700e+02,6.589e+04
78.9,1.888e+04,4.737e+04,7.316e+02,6.698e+04
80.4,1.604e+04,5.313e+04,8.345e+02,7.001e+04
81.8,1.432e+04,5.539e+04,7.979e+02,7.052e+04
83.3,1.186e+04,5.633e+04,7.967e+02,6.899e+04
84.7,1.022e+04,5.730e+04,1.627e+03,6.914e+04
86.2,8.878e+03,5.517e+04,3.249e+03,6.729e+04
87.7,7.444e+03,4.554e+04,4.658e+03,5.764e+04
89.1,4.591e+03,3.164e+04,5.977e+03,4.221e+04
90.6,2.888e+03,2.037e+04,6.670e+03,2.992e+04
92.0,4.101e+03,1.304e+04,5.858e+03,2.300e+04
93.5,3.427e+03,8.732e+03,4.252e+03,1.641e+04
95.0,2.413e+03,6.005e+03,2.828e+03,1.125e+04
96.4,2.988e+03,4.099e+03,1.940e+03,9.027e+03
97.9,3.302e+03,2.689e+03,1.455e+03,7.445e+03
99.3,3.822e+03,2.027e+03,1.480e+03,7.329e+03
100.8,4.024e+03,1.514e+03,1.050e+03,6.587e+03
102.3,3.504e+03,1.080e+03,3.613e+02,4.946e+03
103.7,4.166e+03,9.831e+02,3.550e+02,5.504e+03
105.2,4.147e+03,7.055e+02,4.220e+02,5.275e+03
106.7,4.845e+03,6.786e+02,4.504e+02,5.974e+03
108.1,6.275e+03,9.120e+02,6.596e+02,7.847e+03
109.6,5.328e+03,1.020e+03,7.472e+02,7.096e+03
111.0,3.213e+03,6.488e+02,4.281e+02,4.290e+03
112.5,2.828e+03,5.938e+02,3.824e+02,3.804e+03
114.0,3.021e+03,6.824e+02,3.369e+02,4.041e+03
115.4,3.875e+03,8.096e+02,2.971e+02,4.981e+03
116.9,3.388e+03,1.219e+03,4.464e+02,5.054e+03
118.3,3.966e+03,1.732e+03,8.650e+02,6.562e+03
119.8,5.569e+03,2.423e+03,1.213e+03,9.205e+03
121.3,7.660e+03,3.056e+03,1.250e+03,1.197e+04
122.7,7.872e+03,3.785e+03,1.322e+03,1.298e+04
124.2,6.246e+03,4.803e+03,1.821e+03,1.287e+04
125.6,7.119e+03,5.902e+03,2.725e+03,1.575e+04
127.1,8.754e+03,8.054e+03,4.924e+03,2.173e+04
128.6,8.337e+03,1.228e+04,1.021e+04,3.082e+04
130.0,6.596e+03,1.438e+04,1.724e+04,3.822e+04
131.5,5.427e+03,7.700e+03,8.677e+03,2.180e+04
133.0,4.037e+03,3.994e+03,2.090e+03,1.012e+04
134.4,2.341e+03,1.206e+03,9.951e+02,4.542e+03
135.9,1.740e+03,8.912e+02,1.501e+03,4.133e+03
137.3,1.736e+03,9.354e+02,2.149e+03,4.821e+03
138.8,1.532e+03,8.885e+02,2.248e+03,4.669e+03
140.3,2.019e+03,8.143e+02,1.774e+03,4.608e+03
141.7,2.991e+03,1.106e+03,1.328e+03,5.425e+03
143.2,3.503e+03,1.131e+03,1.403e+03,6.037e+03
144.6,2.527e+03,1.304e+03,1.308e+03,5.138e+03
146.1,2.265e+03,1.401e+03,1.054e+03,4.720e+03
147.6,2.087e+03,1.186e+03,9.298e+02,4.203e+03
149.0,1.817e+03,9.662e+02,7.656e+02,3.549e+03
150.5,2.145e+03,1.177e+03,6.187e+02,3.940e+03
151.9,2.860e+03,1.324e+03,5.266e+02,4.710e+03
153.4,2.725e+03,1.151e+03,4.421e+02,4.318e+03
154.9,2.193e+03,1.028e+03,3.200e+02,3.541e+03
156.3,2.069e+03,1.018e+03,2.489e+02,3.336e+03
157.8,2.544e+03,7.512e+02,2.268e+02,3.522e+03
159.3,2.160e+03,6.035e+02,1.858e+02,2.949e+03
160.7,1.702e+03,8.825e+02,3.443e+02,2.929e+03
162.2,1.955e+03,1.217e+03,5.039e+02,3.677e+03
163.6,2.971e+03,1.352e+03,4.780e+02,4.801e+03
165.1,2.389e+03,5.916e+03,1.931e+03,1.024e+04
166.6,2.221e+03,1.233e+04,3.966e+03,1.851e+04
168.0,2.050e+03,2.747e+03,8.829e+02,5.680e+03
169.5,1.618e+03,3.760e+02,1.482e+02,2.142e+03
170.9,1.923e+03,3.598e+02,1.286e+02,2.411e+03
172.4,2.412e+03,5.844e+02,1.764e+02,3.173e+03
173.9,3.349e+03,7.789e+02,1.623e+02,4.290e+03
175.3,2.415e+03,6.973e+02,1.653e+02,3.277e+03
176.8,2.647e+03,7.539e+02,1.806e+02,3.581e+03
178.2,3.278e+03,9.778e+02,1.802e+02,4.436e+03
179.7,2.408e+03,9.225e+02,2.422e+02,3.573e+03
181.2,3.718e+03,7.103e+02,2.085e+02,4.637e+03
182.6,3.949e+03,7.261e+02,1.439e+02,4.819e+03
184.1,2.419e+03,6.570e+02,1.670e+02,3.243e+03
185.5,2.280e+03,5.491e+02,1.833e+02,3.013e+03
187.0,1.663e+03,5.280e+02,1.189e+02,2.310e+03
188.5,1.183e+03,4.886e+02,1.565e+02,1.828e+03
189.9,1.318e+03,3.505e+02,1.173e+02,1.786e+03
191.4,1.820e+03,5.318e+02,9.697e+01,2.449e+03
192.9,2.129e+03,6.027e+02,1.111e+02,2.843e+03
194.3,2.929e+03,7.053e+02,1.074e+02,3.742e+03
195.8,3.040e+03,7.482e+02,1.268e+02,3.915e+03
197.2,2.527e+03,6.950e+02,1.569e+02,3.379e+03
198.7,2.361e+03,8.120e+02,1.477e+02,3.321e+03
