freq,psd_x,psd_y,psd_z,psd_xyz
158.0,3.059e+03,1.207e+03,9.356e+03,1.362e+04
159.4,3.374e+03,1.355e+03,9.727e+03,1.446e+04
160.9,3.511e+03,1.482e+03,9.532e+03,1.453e+04
162.4,3.286e+03,1.467e+03,8.051e+03,1.280e+04
163.8,2.955e+03,1.185e+03,7.137e+03,1.128e+04
165.3,3.101e+03,4.183e+03,8.290e+03,1.557e+04
166.7,3.528e+03,1.175e+04,1.182e+04,2.709e+04
168.2,3.283e+03,3.620e+03,8.694e+03,1.560e+04
169.7,3.340e+03,9.884e+02,7.803e+03,1.213e+04
171.1,2.831e+03,8.624e+02,6.520e+03,1.021e+04
172.6,1.915e+03,6.015e+02,4.212e+03,6.729e+03
174.1,1.790e+03,5.891e+02,3.790e+03,6.168e+03
175.5,2.041e+03,7.183e+02,4.272e+03,7.032e+03
177.0,2.046e+03,7.669e+02,3.970e+03,6.783e+03
178.5,1.850e+03,6.923e+02,3.294e+03,5.836e+03
179.9,2.033e+03,8.110e+02,3.530e+03,6.373e+03
181.4,2.142e+03,8.941e+02,3.518e+03,6.554e+03
182.8,2.265e+03,9.107e+02,3.580e+03,6.755e+03
184.3,2.393e+03,9.897e+02,3.849e+03,7.231e+03
185.8,2.347e+03,1.012e+03,3.667e+03,7.026e+03
187.2,1.961e+03,8.831e+02,2.916e+03,5.761e+03
188.7,1.702e+03,8.150e+02,2.644e+03,5.162e+03
190.2,1.961e+03,8.908e+02,2.707e+03,5.559e+03
191.6,1.954e+03,8.626e+02,2.435e+03,5.251e+03
193.1,1.784e+03,8.162e+02,2.134e+03,4.735e+03
194.5,2.153e+03,1.002e+03,2.519e+03,5.674e+03
196.0,2.389e+03,1.120e+03,2.615e+03,6.124e+03
197.5,2.614e+03,1.268e+03,2.695e+03,6.577e+03
198.9,2.575e+03,1.305e+03,2.676e+03,6.555e+03
