freq,psd_x,psd_y,psd_z,psd_xyz
128.6,4.118e+03,1.448e+03,3.600e+02,5.925e+03
130.1,4.067e+03,1.704e+03,3.970e+02,6.168e+03
131.5,4.020e+03,1.947e+03,4.347e+02,6.402e+03
133.0,2.576e+03,1.366e+03,3.752e+02,4.317e+03
134.4,3.991e+02,2.516e+02,2.396e+02,8.904e+02
135.8,1.049e+02,1.085e+02,2.141e+02,4.276e+02
137.3,9.123e+01,9.993e+01,2.151e+02,4.063e+02
138.7,9.958e+01,1.180e+02,2.829e+02,5.004e+02
140.2,1.159e+02,1.411e+02,5.636e+02,8.206e+02
141.6,1.193e+02,1.604e+02,6.761e+02,9.558e+02
143.1,1.180e+02,1.660e+02,5.401e+02,8.241e+02
144.5,1.261e+02,1.491e+02,3.601e+02,6.353e+02
146.0,1.314e+02,1.342e+02,2.366e+02,5.022e+02
147.4,1.259e+02,1.302e+02,2.022e+02,4.583e+02
148.9,1.374e+02,1.412e+02,2.545e+02,5.331e+02
150.3,1.399e+02,1.685e+02,2.824e+02,5.908e+02
151.7,1.304e+02,1.591e+02,2.570e+02,5.464e+02
153.2,1.256e+02,1.741e+02,2.439e+02,5.436e+02
154.6,1.152e+02,1.591e+02,1.973e+02,4.716e+02
156.1,1.076e+02,1.577e+02,1.781e+02,4.434e+02
157.5,9.868e+01,1.531e+02,1.798e+02,4.316e+02
159.0,8.493e+01,1.802e+02,1.715e+02,4.366e+02
160.4,8.605e+01,2.100e+02,1.513e+02,4.474e+02
161.9,8.500e+01,2.126e+02,1.477e+02,4.453e+02
163.3,2.195e+02,2.892e+02,2.142e+02,7.229e+02
164.8,1.112e+03,5.031e+02,9.465e+02,2.562e+03
166.2,7.776e+02,3.982e+02,7.091e+02,1.885e+03
167.6,1.177e+02,1.942e+02,1.782e+02,4.901e+02
169.1,1.162e+02,2.046e+02,1.749e+02,4.957e+02
170.5,1.588e+02,2.221e+02,1.897e+02,5.706e+02
172.0,1.898e+02,2.803e+02,2.542e+02,7.242e+02
173.4,1.933e+02,3.232e+02,3.019e+02,8.184e+02
174.9,2.018e+02,3.615e+02,3.647e+02,9.280e+02
176.3,2.205e+02,4.483e+02,4.209e+02,1.090e+03
177.8,3.216e+02,3.140e+02,5.469e+02,1.182e+03
179.2,2.451e+02,2.246e+02,5.129e+02,9.826e+02
180.6,1.962e+02,1.991e+02,5.249e+02,9.202e+02
182.1,1.406e+02,1.689e+02,5.934e+02,9.028e+02
183.5,1.399e+02,2.388e+02,6.523e+02,1.031e+03
185.0,1.482e+02,2.391e+02,7.504e+02,1.138e+03
186.4,1.150e+02,1.993e+02,7.307e+02,1.045e+03
187.9,1.313e+02,1.564e+02,7.191e+02,1.007e+03
189.3,1.355e+02,1.371e+02,7.249e+02,9.975e+02
190.8,8.328e+01,1.567e+02,7.765e+02,1.016e+03
192.2,9.062e+01,1.721e+02,8.566e+02,1.119e+03
193.7,8.934e+01,1.732e+02,9.364e+02,1.199e+03
195.1,9.049e+01,2.227e+02,9.448e+02,1.258e+03
196.5,1.180e+02,2.786e+02,1.033e+03,1.430e+03
198.0,1.315e+02,3.142e+02,1.188e+03,1.634e+03
199.4,2.105e+02,4.338e+02,1.538e+03,2.182e+03
