freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.471e+01,1.634e+01,4.271e+02,4.582e+02
1.4,1.108e+02,9.208e+01,2.574e+02,4.603e+02
2.9,1.494e+02,1.264e+02,4.113e+01,3.169e+02
4.3,1.733e+02,1.548e+02,1.821e+02,5.102e+02
5.8,1.425e+02,1.834e+02,8.099e+02,1.136e+03
7.2,1.664e+02,1.886e+02,1.455e+03,1.810e+03
8.7,2.048e+02,1.803e+02,2.127e+03,2.512e+03
10.1,1.606e+02,1.725e+02,2.868e+03,3.201e+03
11.6,1.440e+02,1.576e+02,3.694e+03,3.996e+03
13.0,1.638e+02,1.558e+02,4.683e+03,5.003e+03
14.5,1.572e+02,1.427e+02,5.864e+03,6.163e+03
15.9,1.420e+02,1.468e+02,7.535e+03,7.824e+03
17.4,1.341e+02,1.169e+02,9.892e+03,1.014e+04
18.8,1.529e+02,1.394e+02,1.248e+04,1.277e+04
20.2,1.419e+02,9.097e+01,1.468e+04,1.491e+04
21.7,1.274e+02,1.700e+02,1.694e+04,1.724e+04
23.1,1.483e+02,1.611e+02,1.936e+04,1.967e+04
24.6,1.876e+02,1.409e+02,2.184e+04,2.217e+04
26.0,2.143e+02,1.456e+02,2.475e+04,2.511e+04
27.5,2.441e+02,1.582e+02,2.860e+04,2.900e+04
28.9,2.102e+02,1.691e+02,3.288e+04,3.326e+04
30.4,1.888e+02,1.915e+02,3.696e+04,3.734e+04
31.8,1.547e+02,1.895e+02,4.140e+04,4.174e+04
33.3,1.127e+02,1.068e+02,4.754e+04,4.776e+04
34.7,1.813e+02,1.236e+02,5.678e+04,5.708e+04
36.2,1.449e+02,1.349e+02,7.059e+04,7.087e+04
37.6,1.511e+02,1.423e+02,8.822e+04,8.852e+04
39.1,1.536e+02,1.654e+02,1.032e+05,1.036e+05
40.5,1.614e+02,1.634e+02,1.196e+05,1.199e+05
41.9,1.846e+02,1.641e+02,1.422e+05,1.426e+05
43.4,1.800e+02,1.732e+02,1.661e+05,1.664e+05
44.8,1.710e+02,2.005e+02,1.970e+05,1.973e+05
46.3,1.760e+02,2.266e+02,2.579e+05,2.583e+05
47.7,1.745e+02,2.975e+02,3.605e+05,3.609e+05
49.2,2.398e+02,4.101e+02,4.922e+05,4.929e+05
50.6,2.893e+02,3.538e+02,6.785e+05,6.792e+05
52.1,4.159e+02,7.402e+02,1.129e+06,1.130e+06
53.5,4.836e+02,1.213e+03,1.814e+06,1.816e+06
55.0,9.049e+02,1.219e+03,1.928e+06,1.931e+06
56.4,8.987e+02,8.390e+02,1.561e+06,1.563e+06
57.9,5.002e+02,9.084e+02,1.327e+06,1.329e+06
59.3,3.631e+02,1.195e+03,1.195e+06,1.196e+06
60.7,7.665e+02,9.947e+02,1.022e+06,1.024e+06
62.2,1.653e+03,6.548e+02,8.357e+05,8.380e+05
63.6,2.123e+03,5.510e+02,6.629e+05,6.655e+05
65.1,1.574e+03,5.143e+02,5.030e+05,5.051e+05
66.5,9.199e+02,4.734e+02,3.662e+05,3.676e+05
68.0,6.583e+02,3.923e+02,2.555e+05,2.566e+05
69.4,8.940e+02,3.370e+02,1.838e+05,1.850e+05
70.9,1.207e+03,3.420e+02,1.351e+05,1.367e+05
72.3,1.205e+03,3.436e+02,1.110e+05,1.125e+05
73.8,8.001e+02,3.914e+02,9.612e+04,9.732e+04
75.2,3.526e+02,2.689e+02,7.903e+04,7.965e+04
76.7,5.595e+02,2.748e+02,7.215e+04,7.299e+04
78.1,1.129e+03,2.256e+02,7.610e+04,7.746e+04
79.5,1.520e+03,1.801e+02,8.671e+04,8.841e+04
81.0,1.643e+03,3.020e+02,9.659e+04,9.854e+04
82.4,1.279e+03,5.153e+02,1.032e+05,1.050e+05
83.9,9.134e+02,6.704e+02,1.100e+05,1.116e+05
85.3,7.911e+02,7.638e+02,1.124e+05,1.140e+05
86.8,1.004e+03,4.961e+02,1.046e+05,1.061e+05
88.2,1.283e+03,2.036e+02,9.371e+04,9.520e+04
89.7,1.374e+03,1.972e+02,8.271e+04,8.428e+04
91.1,1.164e+03,2.239e+02,6.872e+04,7.011e+04
92.6,8.505e+02,3.043e+02,5.317e+04,5.433e+04
94.0,5.962e+02,3.126e+02,3.970e+04,4.060e+04
95.5,4.568e+02,3.594e+02,2.955e+04,3.037e+04
96.9,4.214e+02,4.420e+02,2.225e+04,2.312e+04
98.3,3.967e+02,5.879e+02,1.816e+04,1.914e+04
99.8,3.448e+02,8.852e+02,2.009e+04,2.132e+04
101.2,2.462e+02,1.283e+03,2.225e+04,2.378e+04
102.7,2.708e+02,1.678e+03,2.082e+04,2.276e+04
104.1,3.154e+02,1.797e+03,2.009e+04,2.220e+04
105.6,3.268e+02,1.346e+03,1.510e+04,1.677e+04
107.0,5.896e+02,1.440e+03,2.188e+04,2.391e+04
108.5,9.337e+02,1.574e+03,3.855e+04,4.106e+04
109.9,1.318e+03,1.446e+03,6.144e+04,6.421e+04
111.4,1.707e+03,1.359e+03,8.036e+04,8.342e+04
112.8,1.620e+03,8.965e+02,9.351e+04,9.603e+04
114.3,1.930e+03,5.056e+02,1.065e+05,1.089e+05
115.7,2.081e+03,4.192e+02,1.139e+05,1.164e+05
117.2,2.032e+03,4.172e+02,1.183e+05,1.208e+05
118.6,1.879e+03,4.435e+02,1.238e+05,1.262e+05
120.0,1.688e+03,4.870e+02,1.286e+05,1.308e+05
121.5,1.706e+03,5.001e+02,1.303e+05,1.325e+05
122.9,2.043e+03,4.592e+02,1.322e+05,1.347e+05
124.4,2.379e+03,4.638e+02,1.345e+05,1.374e+05
125.8,2.612e+03,3.821e+02,1.383e+05,1.413e+05
127.3,2.895e+03,4.565e+02,1.424e+05,1.458e+05
128.7,3.301e+03,5.031e+02,1.453e+05,1.491e+05
130.2,3.551e+03,5.286e+02,1.472e+05,1.513e+05
131.6,3.665e+03,6.032e+02,1.444e+05,1.487e+05
133.1,2.154e+03,4.244e+02,8.257e+04,8.515e+04
134.5,4.175e+02,1.745e+02,1.373e+04,1.432e+04
136.0,2.677e+02,1.761e+02,7.036e+03,7.479e+03
137.4,2.924e+02,2.474e+02,6.876e+03,7.416e+03
138.8,2.972e+02,2.865e+02,6.652e+03,7.236e+03
140.3,2.728e+02,2.254e+02,6.474e+03,6.972e+03
141.7,2.444e+02,1.477e+02,6.301e+03,6.693e+03
143.2,2.450e+02,1.497e+02,6.177e+03,6.572e+03
144.6,2.489e+02,1.907e+02,6.018e+03,6.458e+03
146.1,2.559e+02,1.349e+02,5.933e+03,6.324e+03
147.5,2.535e+02,1.605e+02,5.916e+03,6.330e+03
149.0,2.601e+02,1.543e+02,6.583e+03,6.998e+03
150.4,2.631e+02,1.650e+02,7.072e+03,7.500e+03
151.9,2.449e+02,1.967e+02,6.702e+03,7.143e+03
153.3,2.313e+02,1.817e+02,6.537e+03,6.950e+03
154.8,2.162e+02,2.063e+02,6.274e+03,6.697e+03
156.2,1.972e+02,2.273e+02,6.076e+03,6.500e+03
157.6,1.684e+02,1.726e+02,5.521e+03,5.862e+03
159.1,1.199e+02,1.438e+02,4.696e+03,4.960e+03
160.5,1.022e+02,1.885e+02,3.646e+03,3.937e+03
162.0,8.390e+01,1.568e+02,2.368e+03,2.608e+03
